make,model,year,mileage,hp,gear,fuel,price
Volkswagen,Golf,2019,29478,86,manual,gasoline,17980
Volkswagen,T-Roc,2022,12285,110,manual,gasoline,25920
Volkswagen,T-Roc,2022,25000,150,automatic,diesel,36630
Volkswagen,T6,2022,7000,150,manual,diesel,40395
Volkswagen,Golf,2020,24509,150,automatic,Hybrid - gasoline,33850
Volkswagen,Tiguan,2019,40513,131,manual,gasoline,24480
Volkswagen,Polo,2021,8150,207,automatic,gasoline,29990
Volkswagen,T-Cross,2021,8989,95,manual,gasoline,22910
Volkswagen,T-Cross,2021,0,110,manual,gasoline,31015
Volkswagen,Polo,2022,5750,207,automatic,gasoline,31890
Volkswagen,T-Roc,2022,0,150,automatic,gasoline,39990
Volkswagen,T6 Multivan,2021,10500,150,manual,diesel,52950
Volkswagen,Tiguan,2019,51413,190,automatic,gasoline,29760
Volkswagen,T-Cross,2019,0,95,manual,gasoline,23280
Volkswagen,Tiguan,2020,21586,190,automatic,gasoline,39930
Volkswagen,Caddy,2020,10,102,manual,diesel,33890
Volkswagen,Golf,2021,10390,150,automatic,gasoline,28990
Volkswagen,Crafter,2018,58787,140,manual,diesel,35970
Volkswagen,T-Roc Cabriolet,2018,0,150,manual,gasoline,40875
Volkswagen,Passat Variant,2017,69773,150,automatic,diesel,20491
Volkswagen,up,2022,6,83,automatic,electric,24990
Volkswagen,Polo,2021,8000,80,automatic,gasoline,15881
Volkswagen,T-Roc,2019,74636,116,manual,diesel,22445
Volkswagen,Golf,2022,2717,110,manual,gasoline,25850
Volkswagen,Tiguan,2022,10000,150,automatic,gasoline,39497
Volkswagen,Tiguan,2021,18501,200,automatic,diesel,52930
Volkswagen,Tiguan,2021,27047,122,manual,diesel,32980
Volkswagen,Tiguan,2019,31633,150,automatic,diesel,32220
Volkswagen,Passat Variant,2020,17850,239,automatic,diesel,45890
Volkswagen,Golf Variant,2021,11620,150,automatic,gasoline,34340
Volkswagen,Golf,2020,28640,150,automatic,gasoline,35980
Volkswagen,Arteon,2018,60327,150,automatic,diesel,31810
Volkswagen,Polo,2020,16520,95,manual,gasoline,18948
Volkswagen,ID.3,2020,21431,204,automatic,electric,44890
Volkswagen,Tiguan,2019,49580,190,automatic,diesel,36870
Volkswagen,T-Cross,2021,24250,110,automatic,gasoline,25350
Volkswagen,Caddy,2020,45990,102,manual,diesel,24080
Volkswagen,T-Roc,2021,5100,150,manual,gasoline,30885
Volkswagen,Tiguan,2020,18000,190,automatic,diesel,42980
Volkswagen,T-Roc,2021,3679,150,automatic,gasoline,30601
Volkswagen,Passat Variant,2020,29118,150,automatic,gasoline,31880
Volkswagen,T6 California,2020,0,150,automatic,diesel,80250
Volkswagen,Tiguan,2019,49388,150,automatic,gasoline,28930
Volkswagen,Polo,2022,51,95,manual,gasoline,22990
Volkswagen,Golf,2020,34506,131,manual,gasoline,23280
Volkswagen,T6 Multivan,2021,2217,150,automatic,diesel,52980
Volkswagen,Tiguan,2021,46855,150,automatic,diesel,37146
Volkswagen,up,2018,42509,60,manual,gasoline,9940
Volkswagen,up,2022,2750,116,manual,gasoline,20990
Volkswagen,Polo,2022,3999,95,manual,gasoline,22780
Volkswagen,Caddy,2022,0,122,automatic,diesel,48704
Volkswagen,Polo,2019,60009,80,manual,gasoline,14700
Volkswagen,T-Cross,2021,6100,110,manual,gasoline,24980
Volkswagen,Golf Variant,2022,23856,150,automatic,diesel,33480
Volkswagen,Touran,2018,118883,150,manual,diesel,24840
Volkswagen,Golf Variant,2021,10550,110,manual,gasoline,25660
Volkswagen,up,2020,11991,65,manual,gasoline,16400
Volkswagen,Tiguan,2017,63620,125,manual,gasoline,20979
Volkswagen,Golf Variant,2022,26497,116,manual,diesel,29200
Volkswagen,Tiguan,2022,25756,150,automatic,gasoline,35800
Volkswagen,Tiguan,2021,12262,150,automatic,gasoline,38960
Volkswagen,T-Roc,2021,0,150,automatic,gasoline,41209
Volkswagen,T-Roc,2021,0,150,automatic,gasoline,39330
Volkswagen,Arteon,2021,3500,200,automatic,diesel,48480
Volkswagen,Arteon,2021,0,200,automatic,diesel,62470
Volkswagen,T-Cross,2022,1500,110,automatic,gasoline,27480
Volkswagen,Passat Variant,2019,33278,150,manual,gasoline,25940
Volkswagen,T-Roc,2021,8061,150,automatic,gasoline,31880
Volkswagen,T-Roc,2018,35800,116,manual,gasoline,19980
Volkswagen,Tiguan,2020,7450,150,automatic,gasoline,32680
Volkswagen,T-Roc Cabriolet,2021,15300,150,automatic,gasoline,34451
Volkswagen,California,2021,0,177,automatic,diesel,74900
Volkswagen,T-Roc,2018,61837,116,manual,gasoline,17850
Volkswagen,Sharan,2019,54266,150,automatic,diesel,36800
Volkswagen,Golf,2019,0,150,automatic,diesel,38980
Volkswagen,Golf,2018,50397,116,manual,diesel,19390
Volkswagen,up,2021,6655,83,automatic,electric,23480
Volkswagen,Amarok,2018,55100,258,automatic,diesel,48822
Volkswagen,Polo,2019,77937,95,automatic,diesel,18490
Volkswagen,Crafter,2021,23657,140,manual,diesel,46980
Volkswagen,Golf,2022,24833,150,automatic,diesel,30266
Volkswagen,Taigo,2018,20,150,automatic,gasoline,31840
